1,0.265265,0.338442,0.169152
1,0.328813,0.468860,0.135115
1,0.349005,0.554137,0.110566
2,0.341084,0.597245,0.094194
2,0.351974,0.628097,0.089156
2,0.353142,0.668859,0.078126
3,0.367127,0.718725,0.069069
3,0.365399,0.735172,0.064153
3,0.362890,0.744370,0.061243
4,0.376887,0.782733,0.057244
4,0.373507,0.786618,0.054596
4,0.383985,0.809793,0.052521
5,0.382042,0.817597,0.050236
5,0.382507,0.827324,0.048120
5,0.385395,0.828467,0.048637
6,0.386677,0.860928,0.041207
6,0.394691,0.895956,0.037658
6,0.400051,0.908627,0.035555
7,0.398882,0.914817,0.036169
7,0.400443,0.925884,0.034972
7,0.406431,0.942769,0.032934
8,0.404073,0.933951,0.034800
8,0.404567,0.934193,0.033475
8,0.408220,0.940147,0.032149
9,0.404281,0.935989,0.034053
9,0.408430,0.948694,0.031189
9,0.410082,0.957508,0.031258
10,0.407746,0.952853,0.031980
10,0.409547,0.957101,0.030002
10,0.410535,0.959233,0.030986
11,0.403732,0.939252,0.030991
11,0.405658,0.952028,0.028670
11,0.408686,0.965628,0.026424
12,0.413923,0.966583,0.029628
12,0.413965,0.973210,0.028617
12,0.413186,0.976579,0.028200
13,0.412529,0.968251,0.029691
13,0.411611,0.971082,0.028531
13,0.412648,0.979478,0.026559
14,0.415370,0.972726,0.030950
14,0.416884,0.976870,0.028117
14,0.415370,0.982313,0.027495
15,0.416715,0.974393,0.030019
15,0.415133,0.977336,0.027516
15,0.416939,0.984074,0.027059
16,0.418103,0.977817,0.029184
16,0.416691,0.983450,0.027442
16,0.418962,0.986219,0.027313
17,0.417207,0.980126,0.029332
17,0.416934,0.982816,0.027085
17,0.414273,0.985637,0.025972
18,0.417692,0.980080,0.029062
18,0.418702,0.983077,0.027961
18,0.414804,0.985902,0.026490
19,0.419856,0.980330,0.029730
19,0.417568,0.983108,0.026973
19,0.417023,0.985931,0.027074
20,0.417105,0.980334,0.028605
20,0.417532,0.983220,0.026886
20,0.415650,0.986240,0.026586
