1,0.163205,0.187173,0.190674
1,0.180606,0.218315,0.184424
1,0.240521,0.325845,0.163711
2,0.282890,0.395443,0.150432
2,0.292132,0.416566,0.146028
2,0.308716,0.433967,0.146458
3,0.321792,0.465122,0.138836
3,0.347579,0.515196,0.132200
3,0.337822,0.508160,0.131888
4,0.349030,0.576957,0.111634
4,0.355387,0.595349,0.112307
4,0.370821,0.623883,0.106302
5,0.380215,0.654789,0.095552
5,0.401857,0.732544,0.083492
5,0.401603,0.719174,0.088552
6,0.390819,0.720833,0.089131
6,0.406767,0.744056,0.084279
6,0.407124,0.767351,0.082571
7,0.408585,0.782624,0.080936
7,0.404541,0.787569,0.078313
7,0.400016,0.759227,0.083777
8,0.400030,0.776245,0.079491
8,0.400666,0.776295,0.078489
8,0.405344,0.793727,0.076661
9,0.393365,0.786651,0.074042
9,0.408872,0.816658,0.072009
9,0.414051,0.811970,0.073639
10,0.410841,0.814617,0.072498
10,0.408038,0.817990,0.074329
10,0.410276,0.800696,0.074681
11,0.407766,0.804063,0.071733
11,0.409550,0.817251,0.071780
11,0.424266,0.837485,0.070044
12,0.418595,0.838882,0.068722
12,0.411412,0.841120,0.069446
12,0.418750,0.838328,0.069603
13,0.417289,0.835766,0.070458
13,0.419776,0.845642,0.070071
13,0.417809,0.837028,0.069522
14,0.415604,0.834814,0.070949
14,0.416406,0.845525,0.068552
14,0.415463,0.840818,0.068010
15,0.417555,0.838544,0.070440
15,0.418409,0.850135,0.067187
15,0.418856,0.841214,0.069067
16,0.418483,0.837185,0.070273
16,0.417560,0.843501,0.070038
16,0.414742,0.833831,0.070393
17,0.413948,0.833223,0.070208
17,0.415113,0.846950,0.067698
17,0.419495,0.838695,0.072355
18,0.416808,0.833365,0.069710
18,0.419985,0.846967,0.070349
18,0.414806,0.838218,0.068881
19,0.416412,0.832374,0.074047
19,0.417596,0.845252,0.070220
19,0.412632,0.836917,0.068324
20,0.413875,0.832254,0.069783
20,0.419512,0.845619,0.071730
20,0.416775,0.837254,0.070797
